,name,student_body,median_parent_income,median_child_income,cost_of_attendance,pell_aid_per_student,institutional_grant_aid_avg,debt_median,student_income_10_years_median,clusters,cluster
0,ASA College,4437.0,29000,19700,26546.0,3578.482,3218.6,8500.0,26100.0,0,light pink
1,Abilene Christian University,3572.0,101000,40100,41606.0,940.7532,11832.39,18500.0,43000.0,1,pink
2,Abraham Baldwin Agricultural College,3244.0,66000,32500,11674.0,1870.452,1152.64,5500.0,32900.0,2,purple
3,Academy of Art University,9885.0,92300,27400,35919.0,1432.195,4449.5,12250.0,38600.0,1,pink
4,Adams State University,2110.0,67200,34100,19043.0,2758.598,2502.68,9500.0,35200.0,2,purple
5,Adelphi University,5036.0,96300,50700,43006.0,1178.637,12280.05,20000.0,58500.0,1,pink
6,Adirondack Community College,3535.0,69900,30300,12041.0,1479.344,821.0,5500.0,31900.0,2,purple
7,Adrian College,1570.0,88500,40300,43341.0,1707.9489999999998,16854.72,18225.0,38600.0,1,pink
8,Advanced Institute of Hair Design-Glendale,82.0,78100,24300,13279.0,2424.904,1032.5,9500.0,23400.0,2,purple
9,VICI Beauty School,125.0,78100,24300,14603.0,1594.6429999999998,490.14,9500.0,23400.0,2,purple
10,Advanced Institute of Hair Design-Madison,63.0,78100,24300,15214.0,1769.131,879.84,9500.0,23400.0,2,purple
11,Advanced Technology Institute,717.0,57200,33900,23880.0,2447.937,799.8,14145.0,40800.0,0,light pink
12,AdventHealth University,1870.0,62900,39200,21994.0,865.4181,964.32,13434.0,56000.0,2,purple
13,Agnes Scott College,802.0,97200,38900,46124.0,1965.748,19301.22,22654.0,39400.0,1,pink
14,Aiken Technical College,2270.0,64100,25200,10067.0,1903.994,492.48,4893.0,25500.0,2,purple
15,Alabama A & M University,4206.0,44500,32900,21475.0,3323.031,5081.54,13000.0,31000.0,0,light pink
18,St Philip's College,8272.0,50600,29800,11936.0,1198.155,481.32,6465.0,29900.0,0,light pink
19,San Antonio College,17944.0,50600,29800,11974.0,1201.063,468.42,5500.0,31100.0,0,light pink
20,Palo Alto College,6678.0,50600,29800,11121.0,1246.303,473.4,4750.0,30000.0,0,light pink
21,Northwest Vista College,12600.0,50600,29800,11804.0,1071.601,462.72,5221.0,34600.0,0,light pink
22,Albany College of Pharmacy and Health Sciences,1076.0,95800,115800,42325.0,900.4673,7576.74,23222.0,124700.0,3,dark purple
23,Albany State University,3261.0,43800,31900,18488.0,3201.598,2424.0,21250.0,32200.0,0,light pink
24,Albany Technical College,3424.0,29200,15800,8478.0,3411.087,0.0,3668.0,21700.0,0,light pink
25,Albertus Magnus College,1249.0,68600,43400,42641.0,2139.027,10991.61,20008.0,51200.0,1,pink
26,Albion College,1249.0,120700,48900,48073.0,967.068,18254.43,24000.0,47400.0,3,dark purple
27,Albright College,2340.0,89000,47300,48311.0,1624.93,16566.8,23582.0,46700.0,1,pink
28,Alderson Broaddus University,1024.0,59500,37800,33206.0,1988.178,12367.68,9500.0,40400.0,2,purple
29,Alfred University,1842.0,90800,44600,39758.0,1515.0020000000002,14482.56,21500.0,41400.0,1,pink
30,Allan Hancock College,9738.0,65700,30800,11111.0,872.4639999999999,280.6,5284.0,30400.0,2,purple
31,Allegany College of Maryland,2585.0,57900,32400,13964.0,1698.144,823.2,7485.5,29900.0,0,light pink
32,Allegheny College,1968.0,102800,52500,51883.0,1088.429,20916.72,27000.0,50900.0,1,pink
33,Allen County Community College,2628.0,65000,29700,10875.0,740.1077,1288.96,4025.5,32200.0,2,purple
34,Alma College,1362.0,98200,48000,44636.0,1243.43,19470.64,21500.0,42200.0,1,pink
35,Alpena Community College,1282.0,60600,32500,8653.0,2172.323,1012.8,5500.0,31600.0,2,purple
36,Alvernia University,2272.0,84300,41800,40723.0,1365.043,8914.92,20500.0,44500.0,1,pink
37,Alverno College,1689.0,65600,33200,32528.0,2512.896,8921.0,23000.0,38800.0,2,purple
38,Alvin Community College,4682.0,84500,36600,10268.0,583.9828,316.25,3500.0,37000.0,2,purple
39,Amarillo College,9346.0,58500,31000,10446.0,1229.864,272.32,5500.0,32400.0,2,purple
40,American Career College-Los Angeles,1613.0,30400,25700,22679.0,2611.862,1539.28,9500.0,31800.0,0,light pink
41,American Career College-Anaheim,1415.0,30400,25700,30871.0,2596.64,1423.92,9500.0,31800.0,0,light pink
42,American Career College-Long Beach,516.0,30400,25700,24698.0,1870.681,1258.5,9500.0,31800.0,0,light pink
43,AIB College of Business,1012.0,66000,38700,23486.0,1406.01,6746.74,11003.0,40000.0,2,purple
44,American InterContinental University-Atlanta,761.0,44700,22100,24877.0,4184.788,1429.41,6334.0,37300.0,0,light pink
46,American InterContinental University,10542.0,44700,22100,20945.0,3564.698,847.0,6334.0,37300.0,0,light pink
47,American InterContinental University-Houston,430.0,44700,22100,24298.0,3423.9,711.36,6334.0,37300.0,0,light pink
48,American International College,1473.0,68700,41900,42762.0,2047.859,18057.6,17875.0,46000.0,1,pink
49,American Musical and Dramatic Academy,1735.0,88800,26000,45059.0,1846.372,6156.0,12000.0,28000.0,1,pink
50,American National University,1279.0,38300,17800,24119.0,3640.766,1806.12,10500.0,21000.0,0,light pink
51,American National University-Dayton,131.0,38300,17800,25232.0,3683.667,0.0,10500.0,21000.0,0,light pink
52,American National University-Youngstown,118.0,38300,17800,24274.0,4414.471,0.0,10500.0,21000.0,0,light pink
53,American National University-Cincinnati,127.0,38300,17800,25232.0,4034.142,0.0,10500.0,21000.0,0,light pink
54,American National University-Columbus,54.0,38300,17800,25232.0,3948.887,0.0,10500.0,21000.0,0,light pink
56,American University,7094.0,135700,59100,56620.0,654.8546,13302.27,20500.0,61000.0,3,dark purple
57,Amherst College,1792.0,181300,69300,61544.0,897.5107,24903.86,10050.0,65000.0,3,dark purple
58,Ancilla College,378.0,61300,28900,24099.0,2499.243,3685.44,8395.0,30700.0,0,light pink
59,Anderson University,1831.0,88400,34900,38820.0,1272.764,12472.32,21395.0,37200.0,1,pink
