,median_graduate_income,median_parent_income
0,26100.0,29000
1,43000.0,101000
2,32900.0,66000
3,38600.0,92300
4,35200.0,67200
5,58500.0,96300
6,31900.0,69900
7,38600.0,88500
8,23400.0,78100
9,23400.0,78100
10,23400.0,78100
11,40800.0,57200
12,56000.0,62900
13,39400.0,97200
14,25500.0,64100
15,31000.0,44500
16,25500.0,44300
17,26900.0,61200
18,29900.0,50600
19,31100.0,50600
20,30000.0,50600
21,34600.0,50600
22,124700.0,95800
23,32200.0,43800
24,21700.0,29200
25,51200.0,68600
26,47400.0,120700
27,46700.0,89000
28,40400.0,59500
29,41400.0,90800
30,30400.0,65700
31,29900.0,57900
32,50900.0,102800
33,32200.0,65000
34,42200.0,98200
35,31600.0,60600
36,44500.0,84300
37,38800.0,65600
38,37000.0,84500
39,32400.0,58500
40,31800.0,30400
41,31800.0,30400
42,31800.0,30400
43,40000.0,66000
44,37300.0,44700
45,37300.0,44700
46,37300.0,44700
47,37300.0,44700
48,46000.0,68700
49,28000.0,88800
50,21000.0,38300
51,21000.0,38300
52,21000.0,38300
53,21000.0,38300
54,21000.0,38300
55,21000.0,38300
56,61000.0,135700
57,65000.0,181300
58,30700.0,61300
59,37200.0,88400
60,35200.0,75900
61,45200.0,73900
62,29500.0,45900
63,40200.0,68400
64,44800.0,90400
65,36900.0,91100
66,27100.0,66600
67,36400.0,56900
68,36400.0,56900
69,36400.0,56900
70,20300.0,37200
71,20300.0,37200
72,20300.0,37200
73,38800.0,105900
74,37300.0,94800
75,38100.0,93800
76,44100.0,92200
77,41400.0,84000
78,41400.0,84000
79,41400.0,84000
80,41400.0,84000
81,41400.0,84000
82,41400.0,84000
83,41400.0,84000
84,41400.0,84000
85,41400.0,84000
86,41400.0,84000
87,41400.0,84000
88,41400.0,84000
89,41400.0,84000
90,41400.0,84000
91,41400.0,84000
92,41400.0,84000
93,41400.0,84000
94,41400.0,84000
95,41400.0,84000
96,41400.0,84000
97,41400.0,84000
98,41400.0,84000
99,41400.0,84000
100,41400.0,84000
101,41400.0,84000
102,41400.0,84000
103,41400.0,84000
104,41400.0,84000
105,41400.0,84000
106,47700.0,110700
107,47700.0,110700
108,47700.0,110700
109,47700.0,110700
110,47700.0,110700
111,40100.0,110700
112,47300.0,110700
113,27700.0,38600
114,25700.0,37100
115,32200.0,60800
116,32200.0,60800
117,29400.0,63100
118,34100.0,63200
119,39900.0,76000
120,53600.0,84800
121,33300.0,74200
122,30500.0,55400
123,34100.0,58000
124,34100.0,58000
125,34100.0,58000
126,29500.0,45900
127,30600.0,68000
128,29400.0,73600
129,29400.0,73600
130,29400.0,73600
131,29400.0,73600
132,29400.0,73600
133,29400.0,73600
134,29400.0,73600
135,29400.0,73600
136,29400.0,73600
137,29400.0,73600
138,29400.0,73600
139,29400.0,73600
140,29400.0,73600
141,29400.0,73600
142,29400.0,73600
143,29400.0,73600
144,29400.0,73600
145,29400.0,73600
146,29400.0,73600
147,29400.0,73600
148,29400.0,73600
149,29400.0,73600
150,29400.0,73600
151,29400.0,73600
152,29400.0,73600
153,29400.0,73600
154,29400.0,73600
155,29400.0,73600
156,29400.0,73600
157,29400.0,73600
158,29400.0,73600
159,29400.0,73600
160,29400.0,73600
161,33000.0,63800
162,33000.0,63800
163,33900.0,78400
164,35600.0,78700
165,33300.0,74500
166,36500.0,77200
167,34900.0,91700
168,28900.0,62200
169,40400.0,84600
170,36300.0,83300
171,55200.0,120100
172,27800.0,57200
173,28000.0,38900
174,22000.0,32000
175,27400.0,60000
176,48800.0,123200
177,33300.0,73600
178,46800.0,99100
179,24900.0,46700
180,52000.0,114300
181,43700.0,93200
182,42700.0,87100
183,48200.0,109300
184,35700.0,77100
185,34900.0,66600
186,44100.0,74600
187,44100.0,74600
188,30100.0,83400
190,22800.0,63000
191,41800.0,65400
192,41800.0,65400
193,44100.0,88200
194,51100.0,103700
195,51100.0,103700
196,96100.0,140500
197,25200.0,35300
198,27200.0,61400
199,27200.0,61400
200,27200.0,61400
201,27200.0,61400
202,27200.0,61400
203,27200.0,61400
204,27200.0,61400
205,27200.0,61400
206,27200.0,61400
207,27200.0,61400
208,51300.0,96200
209,51300.0,96200
210,51300.0,96200
211,44400.0,89200
212,41100.0,94900
213,29400.0,70600
214,29400.0,70600
215,29000.0,67700
216,32000.0,67500
217,39700.0,117900
218,39700.0,117900
219,57900.0,148000
220,45800.0,69500
221,45800.0,69500
222,29900.0,58000
223,38100.0,87500
224,31300.0,52600
225,59200.0,176900
226,38800.0,65000
227,29700.0,64800
228,42700.0,84100
229,32100.0,55000
230,51600.0,132400
231,25900.0,46400
232,43800.0,75500
233,29600.0,81700
234,37300.0,77300
235,45700.0,98200
236,43500.0,97000
237,53600.0,73100
238,43600.0,63900
239,38200.0,97900
240,29600.0,53000
241,44100.0,116700
242,42400.0,109800
243,40100.0,90200
244,49000.0,104500
245,30600.0,50000
246,29500.0,99200
247,86900.0,119600
248,38400.0,72000
249,40800.0,42500
250,40800.0,42500
251,39600.0,51200
252,30300.0,119300
253,30700.0,66000
254,40000.0,103100
255,25300.0,91100
256,40400.0,77600
257,40200.0,73700
258,34800.0,76000
259,37800.0,81300
260,38600.0,54700
261,47300.0,100000
262,47300.0,100000
263,47300.0,100000
264,29200.0,43000
265,28100.0,50100
266,34900.0,64400
267,61600.0,104400
268,44500.0,95300
269,46700.0,137900
270,22800.0,31400
271,44800.0,68300
272,29000.0,74000
273,26100.0,41100
274,37400.0,65800
275,31300.0,73400
276,23400.0,36100
277,37500.0,83400
278,38200.0,40800
279,44500.0,89800
280,30200.0,61400
281,25800.0,60800
282,32100.0,71600
283,26600.0,54700
284,39000.0,77100
285,37100.0,77100
286,32800.0,28900
287,30700.0,63000
288,72500.0,168400
289,65300.0,126800
290,65500.0,177600
291,40500.0,92800
292,40500.0,92800
293,26200.0,54100
294,27300.0,69400
295,53600.0,112900
296,57900.0,142700
297,35000.0,74000
298,42000.0,87000
299,31600.0,93900
300,31900.0,63400
301,41900.0,74400
302,37200.0,64800
303,37200.0,64800
304,33900.0,70000
305,42500.0,91300
306,45300.0,93300
307,59700.0,119600
308,42200.0,93200
309,42700.0,92600
310,31800.0,69500
311,34200.0,93200
312,21900.0,30000
313,21900.0,30000
314,21900.0,30000
315,21900.0,30000
316,31200.0,95300
317,31400.0,65700
318,34900.0,54900
319,33200.0,67800
320,33200.0,67800
321,67500.0,197000
322,22400.0,47200
323,41300.0,78800
324,69300.0,116900
325,54600.0,125400
326,70800.0,149800
327,38600.0,87000
328,38600.0,87000
329,38600.0,87000
330,40000.0,69800
331,35100.0,49500
332,36600.0,83200
333,31100.0,66300
334,32800.0,75200
335,56600.0,121500
336,31300.0,64100
337,57200.0,42800
338,36000.0,33500
339,34800.0,29700
340,43900.0,52200
341,47200.0,49800
342,44900.0,41800
343,35000.0,33800
344,43100.0,32500
345,35900.0,35100
346,48200.0,63300
347,40800.0,36500
348,31200.0,26700
349,33300.0,70200
350,46600.0,98100
351,34800.0,77100
352,44400.0,84300
353,26800.0,60300
354,28000.0,72600
355,42600.0,82600
356,37200.0,90100
357,37900.0,66000
358,85900.0,124500
359,37900.0,108700
360,54200.0,110600
361,82900.0,113100
362,66900.0,124800
363,54000.0,80200
364,48900.0,88700
365,49800.0,96300
366,47800.0,67700
367,48100.0,112200
368,44700.0,45600
369,51700.0,86000
370,44700.0,72400
371,47200.0,83300
372,48100.0,85800
373,46100.0,36600
374,44800.0,93200
375,45400.0,61100
376,44500.0,69800
377,47300.0,93600
378,45400.0,72300
379,41600.0,73800
380,44800.0,111500
381,23800.0,46800
382,23800.0,46800
383,32800.0,74000
384,34300.0,56400
385,45900.0,69900
386,33700.0,68100
387,47300.0,94200
388,31700.0,67700
389,27900.0,70800
390,25700.0,44300
391,32300.0,46200
392,44000.0,84100
393,23800.0,73100
394,23100.0,73100
395,21900.0,73100
396,48500.0,88400
397,26700.0,45700
398,29700.0,59300
399,54200.0,152000
400,39700.0,66100
401,83600.0,134400
402,30800.0,47900
403,30800.0,47900
404,30800.0,47900
405,30800.0,47900
406,30800.0,47900
407,30800.0,47900
408,30800.0,47900
409,25400.0,40200
410,25400.0,40200
411,25400.0,40200
412,25400.0,40200
413,25400.0,40200
414,25400.0,40200
415,27100.0,46500
416,27100.0,46500
417,45900.0,89700
418,33900.0,92100
419,44200.0,95000
420,36000.0,79100
421,23900.0,50300
422,44700.0,101600
423,42000.0,97300
424,74600.0,118200
425,35500.0,68000
426,39400.0,94000
427,28800.0,63800
428,56800.0,133000
429,29700.0,64300
430,37100.0,64200
431,31500.0,76500
432,41300.0,99500
433,45800.0,94300
434,44900.0,100300
435,23800.0,29300
436,23800.0,29300
437,23800.0,29300
438,23800.0,29300
439,23800.0,29300
440,23800.0,29300
441,23800.0,29300
442,23800.0,29300
443,23800.0,29300
444,23800.0,29300
445,23800.0,29300
446,23800.0,29300
447,23800.0,29300
448,23800.0,29300
449,23800.0,29300
450,26500.0,53400
451,25000.0,57000
452,25100.0,40600
453,44700.0,87700
454,30800.0,56600
455,47900.0,93300
456,21500.0,33600
457,35400.0,66000
458,35400.0,66000
459,41900.0,98300
460,30000.0,54500
461,32300.0,62200
462,32300.0,68200
463,35300.0,66800
464,27600.0,71200
465,26100.0,40300
466,31000.0,51800
467,27700.0,68600
468,46500.0,97100
469,28400.0,52100
470,32000.0,66300
471,45500.0,111000
472,31900.0,45500
473,27000.0,70800
474,35700.0,70800
475,31300.0,70800
476,31500.0,70800
477,36900.0,70800
478,27700.0,70800
479,34200.0,70800
480,34600.0,84000
481,38200.0,68100
482,31500.0,66300
483,38400.0,66600
484,45400.0,85200
485,54500.0,109600
486,25800.0,78800
487,36900.0,70500
488,36600.0,71200
489,28600.0,70800
490,28900.0,48300
491,29400.0,61800
492,32000.0,66100
493,27100.0,65500
494,43600.0,76600
495,29400.0,38600
496,33800.0,43700
497,30300.0,51800
498,35700.0,66900
499,44200.0,97600
500,46900.0,92500
501,32700.0,74400
502,31200.0,68800
503,30400.0,53600
504,56800.0,106800
505,30900.0,66500
506,46300.0,35500
507,28100.0,39400
508,28000.0,39400
509,25100.0,39400
510,26100.0,39400
511,23500.0,39400
512,32800.0,39400
513,33400.0,73400
514,28500.0,35400
515,72900.0,142000
516,30600.0,50800
517,37900.0,75500
518,35500.0,54500
519,34100.0,82100
520,28800.0,66100
521,49100.0,103000
522,41300.0,75700
523,72000.0,94600
524,27100.0,59000
525,27100.0,59000
526,38800.0,77600
527,39200.0,64300
528,52400.0,120200
529,24500.0,49600
530,21800.0,42600
531,21800.0,42600
532,21800.0,42600
